Tanggal,Nama Media,Judul,Link
2025-08-12,detikSumbagsel,"Cek Penerima Bansos PKH BPNT Agustus 2025, Pastikan Dana Sudah Cair!",https://www.detik.com/sumbagsel/berita/d-8056182/cek-penerima-bansos-pkh-bpnt-agustus-2025-pastikan-dana-sudah-cair
2025-08-08,detikSumbagsel,"Update Jadwal Pencairan Bansos PKH Agustus 2025, Cek Penerima Tahap 3!",https://www.detik.com/sumbagsel/berita/d-8050346/update-jadwal-pencairan-bansos-pkh-agustus-2025-cek-penerima-tahap-3
2025-08-06,Lampung Post,10.223 Warga Lampung Butuh Bantuan Sosial,https://lampost.co/ekonomi-dan-bisnis/10-223-warga-lampung-butuh-bantuan-sosial/
2025-07-31,detikSumbagsel,Cara Cek Bansos PKH dan BPNT Tahap 3 Lengkap Nominal-Jadwal Pencairan,https://www.detik.com/sumbagsel/berita/d-8038193/cara-cek-bansos-pkh-dan-bpnt-tahap-3-lengkap-nominal-jadwal-pencairan
2025-07-25,detikSumbagsel,Profil dan Program Sekolah Rakyat Palembang Lengkap Manfaatnya,https://www.detik.com/sumbagsel/berita/d-8029437/profil-dan-program-sekolah-rakyat-palembang-lengkap-manfaatnya
2025-07-24,Info Lampung,Meluncur! Bupati Egi Lepas Bantuan Pangan Beras untuk 106 Ribu Keluarga di Lampung Selatan,https://www.infolampung.id/2025/07/24/meluncur-bupati-egi-lepas-bantuan-pangan-beras-untuk-106-ribu-keluarga-di-lampung-selatan/
2025-07-24,detikSumbagsel,Bulog Gandeng TNI Optimalkan Gerakan Pangan Murah di Palembang,https://www.detik.com/sumbagsel/bisnis/d-8027617/bulog-gandeng-tni-optimalkan-gerakan-pangan-murah-di-palembang
2025-07-24,Info Lampung,BPJS Kesehatan dan Pemkab Lampung Selatan Sepakat Perkuat Sinergi Jaga Layanan Kesehatan,https://www.infolampung.id/2025/07/24/bpjs-kesehatan-dan-pemkab-lampung-selatan-sepakat-perkuat-sinergi-jaga-layanan-kesehatan/
2025-07-17,Serambi Lampung,Pemkab Lamsel Sosialisasikan Penyaluran Bapang,https://serambilampung.com/2025/07/pemkab-lamsel-sosialisasikan-penyaluran-bapang/
2025-07-15,detikSumbagsel,Ingat! Bantuan Pangan Beras Tak Boleh Diperjualbelikan,https://www.detik.com/sumbagsel/berita/d-8012405/ingat-bantuan-pangan-beras-tak-boleh-diperjualbelikan
2025-07-14,detikSumbagsel,"Bulog Salurkan Bantuan Pangan Beras, Satu KPM Terima 20 Kilogram",https://www.detik.com/sumbagsel/berita/d-8011377/bulog-salurkan-bantuan-pangan-beras-satu-kpm-terima-20-kilogram
2025-07-09,Lampung Post,"PKH Lampung Selatan Gelar Rakor Kabupaten, Gandeng UIM Dukung Kemandirian Keluarga Prasejahtera",https://lampost.co/advertorial/pkh-lampung-selatan-gelar-rakor-kabupaten-gandeng-uim-dukung-kemandirian-keluarga-prasejahtera/
2025-07-05,Antara News,1.469 guru siap mengajar di 100 titik Sekolah Rakyat,https://lampung.antaranews.com/berita/785057/1469-guru-siap-mengajar-di-100-titik-sekolah-rakyat
2025-06-29,Sinar Lampung,"Putuskan Mata Rantai Kemiskinan, Gubernur Mirza Dorong Pendirian Sekolah Rakyat (SR) di Lampung",https://sinarlampung.co/2025/06/29/putuskan-mata-rantai-kemiskinan-gubernur-mirza-dorong-pendirian-sekolah-rakyat-sr-di-lampung/
2025-06-29,Sinar Lampung,"Pemprov Lampung Siapkan Kota Baru sebagai Lokasi Sekolah Rakyat, Dukung Program Nasional Presiden",https://sinarlampung.co/2025/06/29/pemprov-lampung-siapkan-kota-baru-sebagai-lokasi-sekolah-rakyat-dukung-program-nasional-presiden/
2025-06-22,detikSumbagsel,Cek Penerima BPNT 2025 Cair Bulan Juni Lengkap Nominal Terkini,https://www.detik.com/sumbagsel/berita/d-7976013/cek-penerima-bpnt-2025-cair-bulan-juni-lengkap-nominal-terkini
2025-06-18,Lampung Post,85 Anak Calon Siswa Sekolah Rakyat di Lampung Masuk Tahap Pendataan,https://lampost.co/humaniora/calon-siswa-sekolah-rakyat-lampung-masuk-pendataan/
